ID,Text,Sentiment
N1,I've had an IPhone for like 3 years and I've never done that  :( hate ma life,negative
N2,I dont need the new iphone but I want it :(,negative
N3,fuck the iPhone 6s cus I'm not getting one :(,negative
N4,"Hopefully will be able to get my iPhone 6s today :(

Plane gets in at like 11:30 :/",negative
N5,@clydesdalebank I've just bought a new iPhone and I can't use Apple Pay because you don't support it. When will I get to use it? :(,negative
N6,The new iphone is out today but mine doesn't come til next week :( &lt;/3,negative
N7,Also have to work an iPhone launch at t-mobile :(,negative
N8,@O2 I ended up ringin in my break.. i ordered iphone 6s which in now coming to me on Monday and not today :( bit gutted but fingers crossed,negative
N9,@reviewero iPhone 5 was the best iPhone ever. And this makes me feel so nostalgic. :(,negative
N10,@mitsuhiko scared to update to iOS9 as i don't know what that means for my iTunes match subscription :(,negative
N11,There is a high chance that I will not have my iPhone when I get home :( I think I missed the delivery...,negative
N12,@JohnLegere . Why is the inventory of iPhone 6sPlus 128GB Rose Gold already out of stock. I was at a corporate store by 8 am. :(,negative
N13,need my iphone back lol i can't fade this phone :(,negative
N14,"Everyone talking about iPhone day, Im studying for an exam :(",negative
N15,"@3minutegames Upgraded to iPhone 6s today, restored from backup... lost all progress in the Lifeline games :(",negative
N16,@sprintnews so mad i didn't know direct 2 u was an option for iphone pre ordering!!!! :( next time!! im in Bmore :) BEST service ever.,negative
N17,@EE this is my wife's phone. I'm stuck with no o2 service until next years iPhone :(,negative
N18,Grrrrrrr Got the new iPhone but it won't connect to my work (and only) wifi :(,negative
N19,Wish I'd just waited a few months and got the iPhone 6s instead of the 6 :( :( :(,negative
N20,"@PolarGlobal Polar Beat still doesn't work with Polar H6 on iOS9, please help me to fix it! Disappointed :(",negative
N21,"I want Iphone 6s :(
https://t.co/lv6Ml03If6",negative
N22,@katoi It wasn't even for an iPhone! :( and I never got my order as he simply took a picture of my office building and left!,negative
N23,@flinto  I have problems with scrolling through the flinto prototype on my iPhone 6 :( anyone has same problems? #flinto How to fix it?,negative
N24,Woke up really early to get in line for the iphone 6s and theres only one person here :(,negative
N25,Annoyed Apple haven't let me set a parcel drop-off place for iPhone release so delivery failed. Daft they don't allow it for pre-orders. :(,negative
N26,"@tim_cook can you PLEASE consider more options for (black) iPhone 7?! There's like 3 white iPhones, and only 1 black iPhone right now. :(",negative
N27,Sick today :( However I get the new iPhone 6s!!!,negative
N28,c trop cool sur iPhone idk :(,negative
N29,My iPhone is sticky :(,negative
N30,"Apple just makes me feel the happiest boy in the world, even having only an iPhone 4 :( #loveyouapple #fanboy @tim_cook",negative
N31,Just about to make a deal for my iPhone and fucking fire alarm goes off and have to evacuate :(,negative
N32,@NikiAlbon what are the emojis I don't have ios9  :(,negative
N33,No iPhone 6s Plus at the Verizon I went to :( #bummer #myluck #preorder #illwait,negative
N34,@MyPapoose Oh my iPhone says its not coming until Tuesday :( Ive got other stuff coming too thats promised for today.,negative
N35,Takin out loans for the iPhone :(,negative
N36,"@d_trw @NatalyaLim yds , I want get iphone6s plus rose gold de :(",negative
N37,When you're sitting there waiting for the UPS truck for your new iphone :) :(,negative
N38,Iphone 5s? :(,negative
N39,@IHarr_Empires I WANNA iPHONE TOO! I HAVE NO PHONE :(,negative
N40,"@emohrberg @DRoessl maybe some of us like our iPhone Fives, damn it. :( (not to be confused with 5s)",negative
N41,@MsCharlotteX :( Today is the iPhone 6S release date. Maybe Apple is causing phones to self destruct to force more upgrades.,negative
N42,I have to wait to get an iPhone 6s :(,negative
N43,@EyaAmira ndak boleh juga ba :( maybe it only works on iPhone????,negative
N44,The #iphone6s is too big for me to use one-handed. And I have big hands. :(,negative
N45,@virtuatennis + ios9 + ipad2 not a good combo. Game crashes a lot :(,negative
N46,Just got DENIED for Iphone Upgrade Program :( http://t.co/52vYEa3JL1,negative
N47,abt to go wait in line for the new iphone and if they sell out I'm gonna be so pissed :(,negative
N48,Working on an iPhone release day means i won't have much to sell today :(,negative
N49,@officialUKMail was told my iphone would be here today :( not cool,negative
N50,@sierraybarra_09 an iPhone 6 :(,negative
N51,"@MioGlobal GUYS- fix your iOS9 app please :( there are many, many unhappy people out there including me- not worth buying Mio until they fix",negative
N52,"Beat Buy only had the iPhone 6S, no 6S Plus. :(",negative
N53,Someone with an iPhone help me please :( :( :(,negative
N54,iPhone and Any Android phones please :( :),negative
N55,so i no longer have jailbreak yarab ynzl mal ios9.1 sre3 :(,negative
N56,UPS says my iPhone has been delivered but I still didnt get it :(,negative
N57,@splitwise Splitwise app keeps crashing as soon as it opens :( iOS 9.1 on iPhone 6+,negative
N58,I miss my iPhone. :(,negative
N59,@JohnLegere is @TMobile ever going to update their iPhone app?! I just joined and its horrible :(,negative
N60,I will miss my iphone :(,negative
N61,Best Buy still hasn't received the iPhone 6s in rose gold :(,negative
N62,The notifications drop down thing on ios9 is annoying. I preferred having everything ordered by app :(,negative
N63,I'm very sad I didn't wait for the new iPhone :( but it's okay... Next month for sure I'll get it.,negative
N64,@ErlingE Can you also release on a website? On Twitter for iPhone and FB imagens can only be seen when logged in :(,negative
N65,"@opticalvisual Hi Andy, sorry to hear you're having compatibility issues with Three inTouch on your iPhone 6 :( That's annoying. Can you...",negative
N66,I want the rose gold  iPhone :(,negative
N67,I want the rose gold iPhone 6s :(,negative
N68,Had to send my iPhone off for repair :( dont know how ill cope a week without it!!!,negative
N69,I want the new iPhone :(,negative
N70,"@macmixing got mine last monday, decided to let them pass, but now my iPhone 5S keeps crashing and I regret the invite I cri :(",negative
N71,"Dear @iTunesPodcasts, Ever since the recent iOS9 update, the app keeps shutting down on me. Now I have to switch to @Stitcher :(",negative
N72,Line for my reserved iPhone :( http://t.co/ICVtyhWKsv,negative
N73,Hi :(: : basiccynthia Do u wanna get a BRAND NEW iPhone 6 for FREE? Please check my Bi0 :D Thx https://t.co/6mcTi7Pp1z,negative
N74,I want an iPhone6s+ too :(,negative
N75,@deniselorrainee I want some too but I'm going to get my iPhone later &amp; run errands &amp; finish homework so I can't :(,negative
N76,@tsholo_phooko whats your email again cant whatsapp songs because iPhone :(,negative
N77,Gay I can't get the new iPhone till January :(,negative
N78,@Realist_Jayy black iPhone 5 :(,negative
N79,@SpigenWorld i bought a ultra hybrid case for iphone 5s  won`t i get one ? :(,negative
N80,@austin_ortega that's what I did with my old iPhone 6 :(,negative
N81,"Three days ago my iphone 6 screen broke , still sad about it :(",negative
N82,I want a rose gold iPhone 6s :(,negative
N83,I just want to see my pick iPhone :(,negative
N84,"Had to leave work at 16:00, my #iphone6s arrives in the office at 16:08 #bugger wait until Monday it is then :(",negative
N85,@PeerIGN where's IGN on the new iOS9 news feed option? Only clueless gamer :( http://t.co/DXMS2t8rvd,negative
N86,@J4mm1nJ03 true :( now im leaning on macbook air and maybe moto x pure. or iphone. i don't know lol.,negative
N87,"@settern It's a nice pink. Not too barbie, a few shades away from salmon. It's good. I want my Cobalt Blue iPhone. It's not fair :(",negative
N88,A *little* jealous at seeing the tweets and Facebook posts of people with their new iPhone 6Ss.  Mine still a couple of weeks away :(,negative
N89,my father did not find the pink iPhone 6s+ so I have to wait until they have it :(,negative
N90,Missing my iPhone :(  http://t.co/SL5QFNrTKD,negative
N91,@JohnLegere I was but no iphone6s :(,negative
N92,rich bitches getting the new iPhone why wasn't I born into a rich family :(,negative
N93,@oskrNYC @IKEAtkinson :( I want a new iPhone so bad,negative
N94,Payments changed for #iPhone6s and you have to get approved for a loan; despite good credit I didn't get it &amp; they can't tell me why :(,negative
N95,Awww :( they were out kf rose gold how sad :(((( fuck up u lil shit u bought a new fucking iphone kys https://t.co/vJpCm99FgD,negative
N96,"I wnt an iphone6s :(
iPhone 6s diary: Day one first impressions  forget the similarities, this is a whole new phone

http://t.co/XKGoBQVPuQ",negative
N97,any1 got iphone 5 charger i can use pls in warners :( pls,negative
